video_id,true_class,pred_class,prob_fake,prob_real,num_frames,correct
fake_000_003,fake,fake,0.9999998211860657,2.5212457899215224e-07,40,True
fake_001_870,fake,fake,1.0,1.245452342874074e-14,46,True
fake_002_006,fake,fake,1.0,2.995063439338412e-14,70,True
fake_003_000,fake,fake,0.9999872446060181,1.271947803616058e-05,31,True
fake_004_982,fake,fake,0.9830806255340576,0.016919368878006935,31,True
fake_005_010,fake,fake,0.9865698218345642,0.013430135324597359,39,True
fake_006_002,fake,fake,0.9962990283966064,0.0037009704392403364,31,True
fake_007_132,fake,fake,0.9999979138374329,2.1112944068590878e-06,51,True
fake_008_990,fake,fake,0.9995545744895935,0.00044538103975355625,64,True
fake_009_027,fake,fake,1.0,5.218314225174936e-09,59,True
fake_010_005,fake,fake,1.0,3.3985365299830364e-15,48,True
fake_011_805,fake,fake,1.0,8.449817234801316e-11,64,True
fake_012_026,fake,fake,0.9853517413139343,0.01464817300438881,37,True
fake_013_883,fake,fake,0.9999993443489075,6.623274089179176e-07,34,True
fake_014_790,fake,fake,0.9999098181724548,9.020513243740425e-05,68,True
fake_015_919,fake,fake,0.999981164932251,1.8842592908185907e-05,44,True
fake_016_209,fake,fake,0.9935541749000549,0.006445831619203091,68,True
fake_017_803,fake,fake,0.9999995827674866,3.9767240878063603e-07,39,True
fake_018_019,fake,fake,0.9999950528144836,5.019610398449004e-06,44,True
fake_019_018,fake,fake,1.0,2.0586893967333708e-08,139,True
fake_020_344,fake,fake,1.0,7.376078914322903e-11,39,True
fake_021_312,fake,fake,0.987348735332489,0.012651270255446434,44,True
fake_022_489,fake,fake,0.9938039779663086,0.006196008995175362,33,True
fake_023_923,fake,fake,1.0,4.249983920345812e-09,56,True
fake_024_073,fake,fake,0.9999304413795471,6.959502206882462e-05,31,True
fake_025_067,fake,fake,0.9999946355819702,5.346563739294652e-06,75,True
fake_026_012,fake,fake,1.0,1.0016225605852277e-18,33,True
fake_027_009,fake,fake,0.9996196627616882,0.0003803352010436356,28,True
fake_028_068,fake,fake,1.0,1.8187825689963688e-09,44,True
fake_029_048,fake,fake,0.9761910438537598,0.023808998987078667,42,True
fake_030_193,fake,fake,0.9990835785865784,0.0009164145449176431,30,True
fake_031_163,fake,fake,0.9983779191970825,0.0016220725374296308,49,True
fake_032_944,fake,fake,1.0,1.187769414073836e-11,31,True
fake_033_097,fake,fake,0.9891396164894104,0.010860485956072807,81,True
fake_034_590,fake,fake,1.0,1.4812721049750621e-09,41,True
fake_035_036,fake,fake,0.9999974966049194,2.5387068944837665e-06,43,True
fake_036_035,fake,fake,0.9999755620956421,2.4523635147488676e-05,34,True
fake_037_072,fake,fake,1.0,3.1756024476692346e-09,46,True
fake_038_125,fake,fake,0.9995793104171753,0.00042063280125148594,31,True
fake_039_058,fake,fake,0.9999999403953552,9.301898984404033e-08,61,True
fake_040_997,fake,fake,0.9999997019767761,2.9080359809086076e-07,55,True
fake_041_063,fake,fake,1.0,8.547474728004545e-09,35,True
fake_042_084,fake,fake,1.0,2.6385950716023565e-12,34,True
fake_043_110,fake,fake,1.0,5.553204118768917e-09,50,True
fake_044_945,fake,fake,0.9999732971191406,2.672097434697207e-05,34,True
fake_045_889,fake,fake,1.0,2.2371713589607513e-21,35,True
fake_046_904,fake,fake,0.9999997615814209,2.3234970569774305e-07,51,True
fake_047_862,fake,fake,0.9999973177909851,2.6829504804481985e-06,32,True
fake_048_029,fake,fake,1.0,2.44551514455571e-12,49,True
fake_049_946,fake,fake,1.0,2.0522986522025777e-12,36,True
fake_050_059,fake,fake,1.0,5.05231863290323e-11,53,True
fake_051_332,fake,fake,1.0,1.9380671352911252e-17,72,True
fake_052_108,fake,fake,1.0,6.79574396755811e-10,33,True
fake_053_095,fake,fake,0.9281339049339294,0.07186610996723175,42,True
fake_054_071,fake,fake,1.0,1.2120871797569044e-12,37,True
fake_055_147,fake,fake,0.9999998807907104,1.5865396107983543e-07,40,True
fake_056_996,fake,fake,0.9736940264701843,0.026306021958589554,38,True
fake_057_070,fake,fake,1.0,2.0820090096407284e-09,44,True
fake_058_039,fake,fake,0.9999983906745911,1.605275883775903e-06,67,True
fake_059_050,fake,fake,0.9999998807907104,1.1173415259690955e-07,73,True
fake_060_088,fake,fake,0.9993745684623718,0.0006253995234146714,85,True
fake_061_080,fake,fake,0.7843149900436401,0.21568500995635986,34,True
fake_062_066,fake,fake,0.9838539958000183,0.016146017238497734,43,True
fake_063_041,fake,fake,1.0,1.9243169557814355e-11,93,True
